url_length,digit_count,special_count,subdomain_count,has_https,suspicious_keywords,entropy,has_ip,is_shortened,slash_count,has_at_symbol,has_hyphen,equals_count,ampersand_count,is_media,is_tech,is_search,label
30,0,6,1,1,3,4.0980685120588385,0,0,2,0,1,0,0,0,0,0,1
32,0,6,1,0,2,4.202819531114783,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,1,1,4.0895524525606675,0,0,2,0,1,0,0,0,0,0,1
26,0,6,1,0,1,4.056020968057881,0,0,2,0,1,0,0,0,0,0,1
34,0,6,1,1,3,4.194388488997389,0,0,2,0,1,0,0,0,0,0,1
28,0,6,1,0,3,4.307354922057605,0,0,2,0,1,0,0,0,0,0,1
29,0,6,1,1,1,4.28022625367366,0,0,2,0,1,0,0,0,0,0,1
28,0,6,1,0,3,4.378783493486176,0,0,2,0,1,0,0,0,0,0,1
31,0,6,1,1,2,3.9779168746936358,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,0,3,4.233639952626228,0,0,2,0,1,0,0,0,0,0,1
34,0,6,1,1,2,4.1462863706621045,0,0,2,0,1,0,0,0,0,0,1
34,0,6,1,0,0,4.091159812399538,0,0,2,0,1,0,0,0,0,0,1
36,0,6,1,1,2,4.194385682587763,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,0,2,3.8805646661291595,0,0,2,0,1,0,0,0,0,0,1
27,0,5,1,1,1,4.208410187268527,0,0,2,0,1,0,0,0,0,0,1
31,0,6,1,0,2,4.195816471537619,0,0,2,0,1,0,0,0,0,0,1
31,0,6,1,1,1,4.091135423220312,0,0,2,0,1,0,0,0,0,0,1
30,0,6,1,0,3,4.2817276788697365,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,1,3,3.9077342707424862,0,0,2,0,1,0,0,0,0,0,1
28,0,6,1,0,3,4.182005814760214,0,0,2,0,1,0,0,0,0,0,1
35,0,7,1,1,0,4.16429908806447,0,0,2,0,1,0,0,0,0,0,1
31,0,6,1,0,2,4.11548663296752,0,0,2,0,1,0,0,0,0,0,1
32,0,6,1,1,3,4.077819531114783,0,0,2,0,1,0,0,0,0,0,1
27,0,5,1,0,2,4.282484261342601,0,0,2,0,1,0,0,0,0,0,1
26,0,5,1,1,2,4.2098671219040344,0,0,2,0,1,0,0,0,0,0,1
25,0,5,1,0,2,3.973660689688184,0,0,2,0,1,0,0,0,0,0,1
26,0,5,1,1,1,4.103909910282363,0,0,2,0,1,0,0,0,0,0,1
27,0,5,1,0,1,4.208410187268527,0,0,2,0,1,0,0,0,0,0,1
25,0,5,1,1,1,4.0194705707972505,0,0,2,0,1,0,0,0,0,0,1
26,0,5,1,0,1,4.056020968057881,0,0,2,0,1,0,0,0,0,0,1
25,0,5,1,1,1,4.023465189601646,0,0,2,0,1,0,0,0,0,0,1
32,0,6,1,0,2,4.101409765557392,0,0,2,0,1,0,0,0,0,0,1
25,0,5,1,1,2,4.133660689688184,0,0,2,0,1,0,0,0,0,0,1
32,0,6,1,0,1,4.140319531114783,0,0,2,0,1,0,0,0,0,0,1
31,0,5,1,1,3,4.478232197413861,0,0,2,0,1,0,0,0,0,0,1
26,0,6,1,0,1,3.8252517372886503,0,0,2,0,1,0,0,0,0,0,1
28,0,5,1,1,2,4.021640636343319,0,0,2,0,1,0,0,0,0,0,1
37,0,7,1,0,4,4.317033095124792,0,0,3,0,1,0,0,0,0,0,1
32,0,6,1,1,1,4.327819531114783,0,0,2,0,1,0,0,0,0,0,1
31,0,6,1,0,3,4.1313003425053605,0,0,2,0,1,0,0,0,0,0,1
27,0,6,1,1,1,4.208410187268527,0,0,2,0,1,0,0,0,0,0,1
30,0,6,1,0,2,4.148394345536403,0,0,2,0,1,0,0,0,0,0,1
28,0,6,1,1,3,4.307354922057605,0,0,2,0,1,0,0,0,0,0,1
26,0,5,1,0,2,4.103909910282363,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,1,3,4.089552452560668,0,0,2,0,1,0,0,0,0,0,1
32,0,6,1,0,2,4.116729296672174,0,0,2,0,1,0,0,0,0,0,1
34,0,6,1,1,0,4.160704752887783,0,0,2,0,1,0,0,0,0,0,1
26,0,5,1,0,1,4.132944044980958,0,0,2,0,1,0,0,0,0,0,1
34,0,6,1,1,2,4.138502179294739,0,0,2,0,1,0,0,0,0,0,1
31,0,6,1,0,2,4.0667842134731025,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,1,0,4.27137063437885,0,0,2,0,1,0,0,0,0,0,1
29,0,6,1,0,1,4.1162646156680225,0,0,2,0,1,0,0,0,0,0,1
33,0,6,1,1,3,4.104407755459851,0,0,2,0,1,0,0,0,0,0,1
29,0,6,1,0,2,4.280226253673659,0,0,2,0,1,0,0,0,0,0,1
32,0,7,1,1,2,4.241729296672174,0,0,2,0,1,0,0,0,0,0,1
27,0,6,1,0,0,4.032303242743954,0,0,2,0,1,0,0,0,0,0,1
35,0,6,1,1,3,4.114718016821338,0,0,2,0,1,0,0,0,0,0,1
